"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 16:14:08 MST 2023","Thu Dec 28 16:14:18 MST 2023","9782","chromium","APITesting-I.spec.js","","","","API Testing Example",""
"broken","Thu Dec 28 16:14:13 MST 2023","Thu Dec 28 16:14:44 MST 2023","30598","chromium","ExampleTestPOM.spec.js","","","","Playwright Test Example: ADIDAS ORIGINAL",""
"failed","Thu Dec 28 16:14:41 MST 2023","Thu Dec 28 16:14:44 MST 2023","2998","chromium","Validations.spec.js","","","","Visual Testing",""
"passed","Thu Dec 28 16:14:39 MST 2023","Thu Dec 28 16:14:47 MST 2023","7708","chromium","Validations.spec.js","","","","Validations and More",""
"broken","Thu Dec 28 16:14:08 MST 2023","Thu Dec 28 16:14:39 MST 2023","30786","chromium","ExampleTest.spec.js","","","","Playwright Test Example",""
"failed","Thu Dec 28 16:14:08 MST 2023","Thu Dec 28 16:14:25 MST 2023","16163","chromium","APITesting-II.spec.js","","","","API Test Example II",""
"passed","Thu Dec 28 16:14:08 MST 2023","Thu Dec 28 16:14:21 MST 2023","12715","chromium","ExampleTestPOM.spec.js","","","","Playwright Test Example: ZARA COAT 3",""
"passed","Thu Dec 28 16:14:32 MST 2023","Thu Dec 28 16:14:38 MST 2023","5397","chromium","UIBasicsTest.spec.js","","","","Page Playwright Test",""
"passed","Thu Dec 28 16:14:25 MST 2023","Thu Dec 28 16:14:32 MST 2023","7582","chromium","NetworkRerouting.spec.js","","","","API Testing Example",""
"passed","Thu Dec 28 16:14:28 MST 2023","Thu Dec 28 16:14:37 MST 2023","8713","chromium","PracticePageII.spec.js","","","","Practice Page II",""
"passed","Thu Dec 28 16:14:37 MST 2023","Thu Dec 28 16:14:46 MST 2023","8889","chromium","UIBasicsTest.spec.js","","","","Browser Context Playwright Test",""
"passed","Thu Dec 28 16:14:21 MST 2023","Thu Dec 28 16:14:28 MST 2023","7261","chromium","NetworkRerouting-II.spec.js","","","","Security Test Request Interception",""
"passed","Thu Dec 28 16:14:08 MST 2023","Thu Dec 28 16:14:13 MST 2023","4645","chromium","AngularPractice.spec.js","","","","Angular Practice Test Example",""
"passed","Thu Dec 28 16:14:38 MST 2023","Thu Dec 28 16:14:41 MST 2023","3209","chromium","UIBasicsTest.spec.js","","","","Child Windows Playwright Test",""
"broken","Thu Dec 28 16:14:18 MST 2023","Thu Dec 28 16:14:49 MST 2023","30398","chromium","ExampleTestPOM.spec.js","","","","PW Test with customTest",""
